dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tmdb,D5,gemma3n-z-p2,2146.57,71.33,64.96,67.99,1.00,vector_based_examples_dict_1,1723,11.55
imdb,tmdb,D5,gemma3n-ft-p2,2548.89,62.09,97.89,75.98,1.00,vector_based_examples_dict_1,2983,30.81
imdb,tmdb,D5,gemma3n-tf-p2,2552.80,64.56,95.14,76.92,1.00,vector_based_examples_dict_1,2788,27.30
imdb,tmdb,D5,qwen2.5-z-p2,1234.17,77.99,52.43,62.71,1.00,vector_based_examples_dict_1,1272,6.29
imdb,tmdb,D5,qwen2.5-ft-p2,1250.00,79.19,69.61,74.09,1.00,vector_based_examples_dict_1,1663,6.86
imdb,tmdb,D5,qwen2.5-tf-p2,1250.42,76.83,68.71,72.54,1.00,vector_based_examples_dict_1,1692,9.04
imdb,tmdb,D5,llama3.1-z-p2,1359.71,58.62,76.00,66.19,1.00,vector_based_examples_dict_1,2453,29.43
imdb,tmdb,D5,llama3.1-ft-p2,1368.36,41.66,93.97,57.73,0.99,vector_based_examples_dict_1,4268,52.09
imdb,tmdb,D5,llama3.1-tf-p2,1368.87,36.05,99.74,52.95,1.00,vector_based_examples_dict_1,5235,61.11
imdb,tmdb,D5,orca2-z-p2,805.51,74.50,47.41,57.95,1.00,vector_based_examples_dict_1,1204,6.64
imdb,tmdb,D5,orca2-ft-p2,830.67,66.20,34.78,45.60,1.00,vector_based_examples_dict_1,994,18.71
imdb,tmdb,D5,orca2-tf-p2,831.81,62.42,53.65,57.70,1.00,vector_based_examples_dict_1,1626,25.03
imdb,tmdb,D5,openhermes-z-p2,824.67,68.98,58.40,63.25,1.00,vector_based_examples_dict_1,1602,13.11
imdb,tmdb,D5,openhermes-ft-p2,844.94,62.87,68.55,65.59,1.00,vector_based_examples_dict_1,2063,22.35
imdb,tmdb,D5,openhermes-tf-p2,845.43,57.77,83.67,68.35,1.00,vector_based_examples_dict_1,2740,33.28
imdb,tmdb,D5,zephyr-z-p2,945.19,76.08,50.42,60.65,0.99,vector_based_examples_dict_1,1254,6.54
imdb,tmdb,D5,zephyr-ft-p2,1482.18,70.79,56.87,63.07,0.36,vector_based_examples_dict_1,1520,11.32
imdb,tmdb,D5,zephyr-tf-p2,1262.14,76.81,51.64,61.76,0.54,vector_based_examples_dict_1,1272,5.27
imdb,tmdb,D5,gemma3n-ft-p2,2487.24,65.66,84.88,74.04,1.00,vector_based_examples_dict_2,2446,24.20
imdb,tmdb,D5,gemma3n-tf-p2,2446.68,71.51,83.30,76.95,1.00,vector_based_examples_dict_2,2204,15.34
imdb,tmdb,D5,qwen2.5-ft-p2,1239.94,76.78,50.85,61.18,1.00,vector_based_examples_dict_2,1253,6.46
imdb,tmdb,D5,qwen2.5-tf-p2,1243.37,76.60,56.24,64.86,1.00,vector_based_examples_dict_2,1389,7.34
imdb,tmdb,D5,llama3.1-ft-p2,1359.46,53.27,77.54,63.15,1.00,vector_based_examples_dict_2,2754,36.20
imdb,tmdb,D5,llama3.1-tf-p2,1356.45,40.89,99.52,57.97,1.00,vector_based_examples_dict_2,4605,55.07
imdb,tmdb,D5,orca2-ft-p2,825.79,71.74,43.60,54.24,1.00,vector_based_examples_dict_2,1150,10.78
imdb,tmdb,D5,orca2-tf-p2,827.76,67.32,23.52,34.86,1.00,vector_based_examples_dict_2,661,12.71
imdb,tmdb,D5,openhermes-ft-p2,841.90,76.11,50.00,60.35,1.00,vector_based_examples_dict_2,1243,6.28
imdb,tmdb,D5,openhermes-tf-p2,840.03,73.52,49.89,59.45,1.00,vector_based_examples_dict_2,1284,7.87
imdb,tmdb,D5,zephyr-ft-p2,1231.95,80.06,39.90,53.26,0.66,vector_based_examples_dict_2,943,2.97
imdb,tmdb,D5,zephyr-tf-p2,1106.16,72.12,49.89,58.98,0.85,vector_based_examples_dict_2,1309,10.31
imdb,tmdb,D5,gemma3n-ft-p2,2453.37,73.88,80.71,77.14,1.00,join_examples_dict_1,2067,12.09
imdb,tmdb,D5,gemma3n-tf-p2,2410.06,77.63,64.38,70.38,1.00,join_examples_dict_1,1569,6.95
imdb,tmdb,D5,qwen2.5-ft-p2,1230.11,77.29,50.74,61.26,1.00,join_examples_dict_1,1242,5.15
