D1,D2,responses
1023,0,True
1022,0,Answer: False
1020,0,False
134,0,False
1023,1,record 1: Lenovo T530 ThinkPad - 2381CTO Lenovo T530 ThinkPad - 2381CTO/ Intel Core i7-3610QM Processor (3
1022,1,Answer: True
1020,1,False
134,1,True
953,2,True
434,2,True
106,2,False
100,2,record 1: Lenovo ThinkCentre M77c SFF - 20M50186 Lenovo ThinkCentre M77c SFF - 20M50186/ Intel Core i3-3220 Processor/ 4GB DDR3 Memory/ Intel HD Graphics/ 320GB SATA Hard Drive/ Integrated 10/100/1000 Mbps Ethernet LAN (RJ-45)/ Windows 7 Professional/ Black
785,3,False
237,3,True
214,3,Answer: True
97,3,Answer: False
434,4,False
288,4,False
160,4,True
106,4,Answer: False
861,5,False
860,5,False
851,5,False
825,5,True
776,6,True
392,6,True
110,6,False
94,6,False
968,7,False
746,7,False
377,7,True
284,7,False
1023,8,True
1022,8,"record 1: Samsung Electronics Gear S2 Smartwatch, Bluetooth Model, Silver With Black Band (US Version) - SM-R715AZDAXAR Samsung Electronics Gear S2 Smartwatch, Bluetooth Model, Silver With Black Band (US Version) - SM-R715AZDAXAR/ IP68 Certified Dust And Water Resistant/ 1"
1020,8,True
134,8,Answer: False
1023,9,False
1022,9,False
1020,9,False
134,9,True
1021,10,"record 1: HP Officejet Pro K850 All-in-One Printer - J670a HP Officejet Pro K850 All-in-One Printer - J670a/ Wireless Printing and Scanning, Color Inkjet Printer with AirPrint Technology/ 2-Sided Printing, Duplexer/ Automatic Document Feeder (ADF)/ Maximum Print Resolution of 4800 x 1200 Optimized DPI, record 2: HP Officejet Pro K850 All in One Printer HP Officejet Pro K850 All-in-One Printer - J670a/ Prints, Scans, and Copies/ Includes Two-Year Warranty/ Supports Both Macintosh and Windows Computers, Answer with True"
1020,10,Answer: False
953,10,False
134,10,"record 1 and record 2 both refer to Linksys switches, but they are not the same entity"
1016,11,Answer: False
461,11,True
365,11,"record 1: HP LaserJet Enterprise P2080dn Multi-Function Printer (MFP) Print, Copy, Scan & Email - BK543AA HP LaserJet Enterprise P2080dn Multi-Function Printer (MFP) Print, Copy, Scan & Email - BK543AA/ 1200 x 600 Optimized Resolution for Professional Quality Printing/ Up to 20 ppm Black and 10 ppm Color/ Scan up to Legal Size at up to 600 Optimized DPI/ Direct Wireless Network Connectivity (802"
344,11,record 1: Lenovo ThinkPad T470 Laptop Computer - 2368DTG Lenovo ThinkPad T470 Laptop Computer - 2368DTG/ Intel Core Duo Processor (1
638,12,False
631,12,"False, the records refer to different entities"
238,12,False
218,12,Answer: True
953,13,True
434,13,False
106,13,False
100,13,True
1059,14,True
785,14,False
237,14,True
214,14,"record 1: Belkin HDMI Gold Plated Cable High Speed with Ethernet (2 Pack) - BCo589dbzz Belkin HDMI Gold Plated Cable High Speed with Ethernet (2 Pack) - BCo589dbzz/ Ultra High Speed HDMI (4K @ 60Hz, 3D, Deep Color and HDMI Ethernet Connectivity)/ Gold-Plated Contacts for Superior Signal Integrity/ Durable Metal Connectors Provide a Secure Fit/ Length: 15 feet (2 pack)"
965,15,False
821,15,Answer: True
402,15,False
