dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tvdb,D6,gemma3n-z-p2,902.71,43.49,97.47,60.14,1.00,vector_based_examples_dict_1,2035,44.86
imdb,tvdb,D6,gemma3n-ft-p2,1222.70,51.97,94.38,67.03,1.00,vector_based_examples_dict_1,1649,39.66
imdb,tvdb,D6,gemma3n-tf-p2,1224.20,51.29,94.05,66.38,1.00,vector_based_examples_dict_1,1665,38.20
imdb,tvdb,D6,qwen2.5-z-p2,469.35,54.34,89.65,67.66,1.00,vector_based_examples_dict_1,1498,35.65
imdb,tvdb,D6,qwen2.5-ft-p2,480.49,54.10,74.12,62.55,1.00,vector_based_examples_dict_1,1244,35.53
imdb,tvdb,D6,qwen2.5-tf-p2,480.06,51.16,72.69,60.05,1.00,vector_based_examples_dict_1,1290,37.91
imdb,tvdb,D6,llama3.1-z-p2,481.98,25.57,83.81,39.19,1.00,vector_based_examples_dict_1,2976,76.58
imdb,tvdb,D6,llama3.1-ft-p2,493.88,27.68,68.61,39.44,0.99,vector_based_examples_dict_1,2239,76.58
imdb,tvdb,D6,llama3.1-tf-p2,494.08,23.05,79.30,35.71,1.00,vector_based_examples_dict_1,3111,76.58
imdb,tvdb,D6,orca2-z-p2,337.74,52.21,61.12,56.32,1.00,vector_based_examples_dict_1,1063,76.58
imdb,tvdb,D6,orca2-ft-p2,352.93,46.67,67.95,55.34,1.00,vector_based_examples_dict_1,1322,76.58
imdb,tvdb,D6,orca2-tf-p2,355.08,31.77,73.02,44.27,1.00,vector_based_examples_dict_1,2087,76.58
imdb,tvdb,D6,openhermes-z-p2,344.60,33.76,73.35,46.23,1.00,vector_based_examples_dict_1,1973,76.58
imdb,tvdb,D6,openhermes-ft-p2,359.78,44.94,75.33,56.30,1.00,vector_based_examples_dict_1,1522,40.41
imdb,tvdb,D6,openhermes-tf-p2,360.94,39.90,80.51,53.36,1.00,vector_based_examples_dict_1,1832,76.58
imdb,tvdb,D6,zephyr-z-p2,392.12,46.18,59.91,52.16,0.97,vector_based_examples_dict_1,1148,76.58
imdb,tvdb,D6,zephyr-ft-p2,3567.03,45.17,15.97,23.60,0.68,vector_based_examples_dict_1,94,76.58
imdb,tvdb,D6,zephyr-tf-p2,724.15,48.73,27.53,35.19,0.71,vector_based_examples_dict_1,223,76.58
imdb,tvdb,D6,gemma3n-ft-p2,1213.84,52.61,96.70,68.14,1.00,vector_based_examples_dict_2,1669,36.37
imdb,tvdb,D6,gemma3n-tf-p2,1214.05,54.68,92.07,68.61,1.00,vector_based_examples_dict_2,1529,34.01
imdb,tvdb,D6,qwen2.5-ft-p2,476.40,55.98,69.05,61.83,1.00,vector_based_examples_dict_2,1120,34.29
imdb,tvdb,D6,qwen2.5-tf-p2,475.61,55.19,64.98,59.69,1.00,vector_based_examples_dict_2,1069,34.89
imdb,tvdb,D6,llama3.1-ft-p2,489.76,29.62,69.60,41.55,1.00,vector_based_examples_dict_2,2134,76.58
imdb,tvdb,D6,llama3.1-tf-p2,490.11,30.83,78.63,44.29,1.00,vector_based_examples_dict_2,2316,76.58
imdb,tvdb,D6,orca2-ft-p2,351.96,37.43,71.15,49.05,1.00,vector_based_examples_dict_2,1726,46.81
imdb,tvdb,D6,orca2-tf-p2,350.94,42.93,48.13,45.38,1.00,vector_based_examples_dict_2,1018,76.58
imdb,tvdb,D6,openhermes-ft-p2,359.13,47.45,68.72,56.14,1.00,vector_based_examples_dict_2,1315,38.78
imdb,tvdb,D6,openhermes-tf-p2,359.20,47.23,61.01,53.24,1.00,vector_based_examples_dict_2,1173,37.77
imdb,tvdb,D6,zephyr-ft-p2,924.62,44.43,29.41,35.39,0.54,vector_based_examples_dict_2,44,76.58
imdb,tvdb,D6,zephyr-tf-p2,674.46,42.35,52.75,46.98,0.65,vector_based_examples_dict_2,492,76.58
imdb,tvdb,D6,gemma3n-ft-p2,1201.76,48.81,92.40,63.88,1.00,join_examples_dict_1,1719,42.64
imdb,tvdb,D6,gemma3n-tf-p2,1202.26,47.81,98.79,64.44,1.00,join_examples_dict_1,1876,41.95
imdb,tvdb,D6,qwen2.5-ft-p2,472.48,54.68,81.06,65.31,1.00,join_examples_dict_1,1346,34.25
imdb,tvdb,D6,qwen2.5-tf-p2,471.88,54.95,86.23,67.12,1.00,join_examples_dict_1,1425,34.39
imdb,tvdb,D6,llama3.1-ft-p2,486.90,32.76,69.82,44.60,1.00,join_examples_dict_1,1935,76.58
imdb,tvdb,D6,llama3.1-tf-p2,486.77,24.55,94.27,38.95,1.00,join_examples_dict_1,3484,76.58
imdb,tvdb,D6,orca2-ft-p2,345.75,42.97,66.96,52.35,1.00,join_examples_dict_1,1414,76.58
imdb,tvdb,D6,orca2-tf-p2,344.65,40.25,70.48,51.24,1.00,join_examples_dict_1,1590,46.73
imdb,tvdb,D6,openhermes-ft-p2,353.28,40.29,58.48,47.71,1.00,join_examples_dict_1,1318,43.93
imdb,tvdb,D6,openhermes-tf-p2,352.89,41.97,57.27,48.44,1.00,join_examples_dict_1,1239,43.26
imdb,tvdb,D6,zephyr-ft-p2,1971.91,50.15,18.50,27.03,0.76,join_examples_dict_1,50,76.58
imdb,tvdb,D6,zephyr-tf-p2,553.29,44.99,31.17,36.82,0.82,join_examples_dict_1,364,76.58
imdb,tvdb,D6,gemma3n-ft-p2,1204.08,50.89,97.14,66.79,1.00,join_examples_dict_2,1733,38.78
imdb,tvdb,D6,gemma3n-tf-p2,1202.83,50.54,97.14,66.49,1.00,join_examples_dict_2,1745,38.80
imdb,tvdb,D6,qwen2.5-ft-p2,471.95,54.80,86.12,66.98,1.00,join_examples_dict_2,1427,34.55
imdb,tvdb,D6,qwen2.5-tf-p2,472.90,53.82,82.27,65.07,1.00,join_examples_dict_2,1388,36.17
imdb,tvdb,D6,llama3.1-ft-p2,485.86,30.02,78.08,43.36,1.00,join_examples_dict_2,2361,76.58
imdb,tvdb,D6,llama3.1-tf-p2,487.00,25.76,94.82,40.52,1.00,join_examples_dict_2,3332,76.58
imdb,tvdb,D6,orca2-ft-p2,345.57,38.28,85.57,52.89,1.00,join_examples_dict_2,2030,51.87
