D1,D2,responses,weight,s-weight
4,6738,"Answer: False, as the records are referring to different entities",0.2,0.569767951965332
5,6725,"If the records refer to the same person (George Lopez), then answer is True",0.1,0.6148035526275635
7,6342,False,0.2,0.0
8,7228,Answer: False,0.2,0.0
8,7734,Example 3:,0.2,0.0
8,4173,False,0.1,0.0
8,2627,Answer: False,0.2,0.0
8,3016,"record 1: Joker (2019) Action,Crime,Drama, Thriller 2019-07-25",0.1,0.0
8,1142,Your task is to determine if both records refer to the same investigation or not,0.1,0.0
14,7237,"If the second record only lists ""guestStars"" as a category and does not provide any additional information about Fredrik Svensson's role or appearance in those shows, then it is possible that he appears as a guest star in some episodes but still primarily identifies as an actor",0.2,0.7359975576400757
17,6506,Example 3:,0.1,0.7477748394012451
22,6619,Answer: True,0.1,0.8020259141921997
22,798,Answer: True,0.1,0.8511130213737488
27,5608,Answer: False,0.2,0.0
27,5844,False,0.1,0.0
27,2808,"record 1: Paddington (2017) PG Family,Comedy,Fantasy",0.1,0.5188887119293213
27,5325,False,0.1,0.0
27,6392,False,0.1,0.0
27,7318,Example 3:,0.2,0.5521425604820251
27,5237,False,0.1,0.0
31,119,Answer: False,0.1,0.6248172521591187
33,6633,False,0.1,0.0
42,1078,"record 1: Boris Blank 1938-01-01 artist,painter",0.1,0.0
45,484,Answer: False,0.1,0.4231046438217163
45,985,False,0.1,0.6360324621200562
45,1377,False,0.1,0.5093996524810791
48,1122,Answer: False,0.1,0.5989635586738586
53,418,"If the records are referring to the same person, then the answer is True",0.1,0.0
53,1388,Answer: False,0.1,0.0
59,4986,False,0.1,0.0
62,7599,"record 1: Don Edmonds 2009-01-01 1937-01-01 actor,producer,director",0.1,0.0
62,7276,Answer: False,0.1,0.0
64,4196,False,0.1,0.8018835783004761
64,7386,False,0.1,0.0
65,7717,"False, as the dates and specifics of the records do not match, indicating that they refer to different entities",0.1,0.0
65,3322,"False, as the two records refer to different episodes/air dates",0.1,0.0
66,7499,False,0.1,0.0
66,4714,False,0.1,0.0
66,2248,record 1: Sarah Ferguson duchess,0.1,0.8183784484863281
69,3234,False,0.1,0.0
69,144,False,0.1,0.6907432079315186
69,2944,Answer: False,0.1,0.0
69,328,False,0.1,0.49423959851264954
69,1213,Answer: True,0.1,0.6291950941085815
69,7525,False,0.1,0.700305700302124
69,7150,False,0.1,0.7335593700408936
77,1073,"If the roles of an individual as a director and an assistant director are equivalent in the given contexts, then the answer is True",0.1,0.7352160215377808
77,1291,Answer: False,0.1,0.8779367804527283
