dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2251.6475517749786,0.6359338061465721,0.9006696428571429,0.7454965357967668,1.0,vector_based_examples_dict_1,1269,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2251.6475517749786,0.6634699215344376,0.8493303571428571,0.744982868330886,1.0,vector_based_examples_dict_1,1147,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2251.6475591659546,0.7038961038961039,0.9073660714285714,0.7927840078010726,1.0,vector_based_examples_dict_1,1155,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2251.6475591659546,0.7220683287165282,0.8727678571428571,0.7902981303688732,1.0,vector_based_examples_dict_1,1083,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2628.180110692978,0.5973353071798667,0.9006696428571429,0.7182910547396528,1.0,vector_based_examples_dict_2,1351,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2628.180110692978,0.6362883181441591,0.8571428571428571,0.7303851640513552,1.0,vector_based_examples_dict_2,1207,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2628.180103302002,0.6822742474916388,0.9107142857142857,0.780114722753346,1.0,vector_based_examples_dict_2,1196,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2628.180103302002,0.6964746345657782,0.9040178571428571,0.7867897037396795,1.0,vector_based_examples_dict_2,1163,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2221.2007129192352,0.6091867469879518,0.9029017857142857,0.7275179856115108,1.0,join_examples_dict_1,1328,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2221.2007129192352,0.6435070306038048,0.8683035714285714,0.7391923990498812,1.0,join_examples_dict_1,1209,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2221.2007122039795,0.6926333615580017,0.9129464285714286,0.7876745305729418,1.0,join_examples_dict_1,1181,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2221.2007122039795,0.7071240105540897,0.8973214285714286,0.7909493359567142,1.0,join_examples_dict_1,1137,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2210.1172654628754,0.6477181745396317,0.9029017857142857,0.7543123543123543,1.0,join_examples_dict_2,1249,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2210.1172654628754,0.6616666666666666,0.8861607142857143,0.7576335877862596,1.0,join_examples_dict_2,1200,MetaBlocking-Method
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2210.1172602176666,0.7065502183406114,0.9029017857142857,0.792748652621264,1.0,join_examples_dict_2,1145,distilroberta
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2210.1172602176666,0.7096204766107679,0.8973214285714286,0.7925086249383932,1.0,join_examples_dict_2,1133,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,877.8569710254669,0.6423576423576424,0.7176339285714286,0.6779124934106484,1.0,vector_based_examples_dict_1,1001,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,877.8569710254669,0.617046818727491,0.5736607142857143,0.5945633314054367,1.0,vector_based_examples_dict_1,833,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,877.8569655418396,0.6865828092243187,0.7310267857142857,0.7081081081081081,1.0,vector_based_examples_dict_1,954,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,877.8569655418396,0.6691176470588235,0.609375,0.6378504672897196,1.0,vector_based_examples_dict_1,816,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,887.8514099121094,0.6566321730950141,0.7790178571428571,0.712608473711077,1.0,vector_based_examples_dict_2,1063,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,887.8514099121094,0.6349942062572422,0.6116071428571429,0.6230812961910176,1.0,vector_based_examples_dict_2,863,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,887.8514108657837,0.6985221674876847,0.7912946428571429,0.7420198848770277,1.0,vector_based_examples_dict_2,1015,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,887.8514108657837,0.6894117647058824,0.6540178571428571,0.6712485681557846,1.0,vector_based_examples_dict_2,850,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,867.5156812667847,0.6533575317604355,0.8035714285714286,0.7207207207207207,1.0,join_examples_dict_1,1102,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,867.5156812667847,0.65439672801636,0.7142857142857143,0.6830309498399146,1.0,join_examples_dict_1,978,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,867.5156753063202,0.6942307692307692,0.8058035714285714,0.7458677685950413,1.0,join_examples_dict_1,1040,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,867.5156753063202,0.6996770721205597,0.7254464285714286,0.7123287671232876,1.0,join_examples_dict_1,929,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,860.6741843223572,0.6552380952380953,0.7678571428571429,0.7070914696813977,1.0,join_examples_dict_2,1050,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,860.6741843223572,0.6449893390191898,0.6752232142857143,0.6597600872410033,1.0,join_examples_dict_2,938,MetaBlocking-Method
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,860.6741900444031,0.693939393939394,0.7667410714285714,0.7285259809119831,1.0,join_examples_dict_2,990,distilroberta
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,860.6741900444031,0.6870824053452116,0.6886160714285714,0.6878483835005574,1.0,join_examples_dict_2,898,distilroberta
imdb,tvdb,D6,llama3.1-ft-p2 U llama3.1-tf-p2,900.8472697734833,0.3612004287245445,0.7522321428571429,0.4880521361332368,0.9979456075132069,vector_based_examples_dict_1,1866,MetaBlocking-Method
imdb,tvdb,D6,llama3.1-ft-p2 ∩ llama3.1-tf-p2,900.8472697734833,0.5286821705426357,0.38058035714285715,0.4425697598961713,0.9979456075132069,vector_based_examples_dict_1,645,MetaBlocking-Method
