D1,D2,responses
181,0,True
3255,1,True
3456,2,True
5785,2,True
267,3,True
1916,4,True
2872,5,True
3345,6,False
2984,7,True
4293,8,True
3457,9,True
4371,10,True
1454,11,True
2917,12,True
4981,13,True
2073,14,True
883,15,True
5627,16,True
5170,17,False
718,18,True
4691,19,True
3274,20,True
5758,21,False
1635,22,False
220,22,True
1266,23,True
3872,24,True
838,25,True
2779,26,True
2890,27,True
4480,28,True
1786,29,True
175,30,True
137,31,False
4698,32,True
4279,33,True
3271,34,False
3271,35,False
1759,36,False
5894,37,True
3341,38,True
3980,39,True
679,40,True
3383,41,True
1161,41,True
5701,42,True
815,43,True
5604,44,True
2143,44,False
1109,45,True
5196,46,True
664,48,True
3654,49,False
1718,50,False
653,51,True
1908,52,True
3978,53,True
2915,54,True
1330,55,True
573,56,True
2120,57,True
3743,58,True
679,59,True
2416,60,True
1583,61,True
1231,62,True
29,63,False
4517,64,True
4357,65,True
228,66,True
2078,67,True
3898,68,False
5510,69,True
3637,70,True
268,71,True
2489,72,True
4315,73,True
2288,74,True
2288,75,True
2017,77,True
6016,78,True
381,80,True
4986,81,True
2721,82,True
4691,83,True
4706,84,True
4649,84,True
3321,84,True
267,85,True
5932,86,True
3543,86,False
3649,87,True
1225,88,True
2809,89,False
850,90,True
827,91,True
3129,92,True
706,93,True
4000,93,True
2802,94,True
4986,95,True
1507,96,True
3898,98,True
3192,99,False
1524,100,True
3637,101,True
5074,102,True
1111,103,True
1945,104,False
3068,106,True
3944,107,False
4072,107,True
4431,107,False
2148,108,True
5602,109,True
1665,110,False
632,111,True
4614,112,True
3540,113,True
4051,113,True
4869,114,True
3377,115,True
5789,116,True
301,117,True
3995,118,True
3869,119,True
532,120,False
1517,121,True
3351,122,False
170,123,True
838,124,True
3241,125,True
5215,126,True
11,127,True
3584,128,True
4212,129,True
568,130,True
4927,131,False
5715,132,True
1938,133,True
4511,134,True
1704,135,True
5364,136,True
536,137,True
1649,138,True
3645,139,True
4679,140,True
1658,141,True
2727,143,True
738,144,True
2884,145,True
5250,146,True
3667,147,True
595,148,False
681,149,True
2213,150,True
4958,151,False
3771,152,True
5215,153,True
5384,154,True
3722,155,True
4296,156,True
2280,157,True
4244,158,True
3649,158,False
694,159,True
794,160,False
1954,162,True
4256,163,True
3457,163,False
4156,164,True
164,165,True
2955,166,True
4649,167,True
866,168,True
3833,169,True
4451,170,False
2977,171,True
1764,172,False
5331,173,True
5920,174,False
4164,175,False
740,176,False
5897,177,True
5534,178,True
1333,180,True
5675,181,True
4659,182,True
114,183,True
2892,184,True
2245,185,True
1748,187,False
2146,188,False
5662,189,True
1146,190,True
2982,191,True
1356,192,True
4746,193,True
2809,194,True
6028,195,True
3993,196,False
2327,198,True
4181,198,True
568,199,True
5838,200,True
3100,201,True
3236,203,True
6001,204,True
817,205,True
2668,206,True
2148,208,True
840,209,True
5860,210,True
2163,212,True
850,213,True
5453,214,True
4812,215,True
2463,216,True
4398,218,True
204,219,False
1896,220,True
3158,222,True
279,223,True
1104,224,True
2809,225,True
699,226,True
3543,227,True
5932,227,False
5032,228,False
246,229,True
5264,230,True
562,231,True
83,232,True
4967,233,True
2221,234,True
5405,235,True
2606,236,True
4502,237,True
157,238,True
1874,239,True
5,240,True
3511,241,False
318,242,True
801,243,False
118,244,True
3637,245,True
3352,246,False
3140,247,False
4127,248,False
5653,249,False
27,249,True
5058,250,False
1981,251,True
1928,251,False
3009,252,False
5941,253,True
3345,254,True
2254,255,True
5172,256,True
2355,257,False
3127,257,True
4691,258,True
5989,259,True
6018,260,True
5054,261,True
2629,262,True
267,263,False
5452,264,True
2155,265,True
1559,265,True
961,265,True
2496,265,True
2536,265,True
2820,265,True
5890,265,True
3439,265,True
4684,265,True
1332,265,True
4941,265,True
341,265,True
4272,265,True
126,265,True
5219,265,True
4026,265,True
2208,265,True
2780,265,True
399,265,True
4639,265,True
4645,267,True
2809,268,True
964,269,True
2023,269,False
3271,270,True
2992,271,True
1473,272,True
1002,274,True
4357,276,True
4261,277,True
2875,278,True
2993,279,True
3592,280,True
3900,281,True
5566,282,True
2084,283,True
2154,284,True
3017,285,False
3168,286,True
1473,287,True
5483,288,True
1862,288,True
602,288,True
2919,288,True
121,288,True
1273,288,True
2835,288,True
284,289,True
5970,290,True
2259,292,False
2809,293,True
745,294,True
3410,296,True
4667,297,True
4258,298,False
4513,298,False
738,300,True
5566,301,True
80,302,True
1360,303,True
3260,304,True
3179,305,True
4146,306,True
776,307,True
1496,308,True
1596,310,True
5760,310,True
3865,311,True
3508,312,False
232,314,True
3005,315,False
4918,316,True
4240,317,True
5264,318,True
4725,319,False
895,320,True
774,321,True
3829,322,True
773,324,True
3002,325,True
4234,327,True
738,328,True
5232,329,True
1690,330,True
4384,331,False
3616,332,True
560,333,True
3978,334,True
5192,335,False
4689,336,True
1877,337,True
3906,338,True
4148,339,True
42,340,True
3511,342,True
4418,343,True
2451,344,True
3575,345,True
1996,346,True
1520,347,True
4244,348,False
420,349,True
4939,350,True
4682,351,True
3036,352,False
2380,353,True
2295,354,True
4343,355,True
1906,356,True
4244,357,True
896,358,True
2084,361,True
3161,363,True
1910,363,True
468,364,True
3645,365,False
5476,366,True
407,367,True
1089,368,False
2277,369,True
5860,370,True
2176,371,True
2319,372,True
1685,374,True
1550,375,True
3875,376,True
5126,377,True
617,378,True
3637,380,True
5390,381,True
5041,382,True
1274,383,True
2809,384,True
3271,385,True
1524,386,False
4031,387,True
2678,388,False
2637,390,True
572,393,True
2272,394,True
3274,395,True
589,396,True
4367,397,True
2177,398,True
284,399,True
4376,401,True
1119,402,False
3271,403,True
2148,404,True
5786,405,True
3271,407,True
5494,408,False
5021,410,True
3543,411,False
1641,413,True
5464,414,True
2809,415,True
4691,416,True
4252,417,True
1906,418,True
141,421,True
5914,422,True
4595,423,True
1617,424,False
279,427,True
5119,428,True
2759,429,True
4935,430,True
4245,433,False
1934,434,True
3905,436,True
2557,438,True
3271,439,False
2809,440,True
1788,442,True
3730,443,False
3412,443,True
5305,444,True
2122,445,True
6026,446,True
697,446,True
5882,448,True
3903,449,True
5040,450,True
3645,451,True
4749,452,True
2154,453,True
204,455,True
3921,457,True
4700,458,True
1356,458,False
5613,459,True
5079,460,True
5065,461,True
4985,462,True
862,463,True
2288,464,True
5119,466,True
2973,467,True
3958,468,True
1330,469,True
5467,470,True
2774,471,True
420,473,True
1231,475,True
615,477,True
5258,479,True
3996,480,False
3084,481,True
301,482,True
2809,483,True
2168,484,False
168,485,True
1103,485,True
1874,486,True
3201,487,True
2264,488,True
5889,489,True
1571,491,True
4667,492,True
175,493,True
1914,494,True
350,494,True
5136,495,True
3829,496,True
718,497,True
2342,499,True
4262,501,True
28,502,True
4171,502,True
4811,504,True
5949,505,True
2809,507,False
638,509,True
5654,510,True
2928,511,True
3018,513,False
3271,514,False
1949,515,True
3514,516,True
3081,517,True
2085,518,True
2008,519,False
3548,520,True
2809,521,True
4649,523,True
3321,523,True
267,524,True
588,525,False
5055,526,True
877,527,True
5859,528,True
5502,529,True
4942,529,False
4991,530,True
3957,532,True
5150,533,False
4501,534,True
4049,535,True
1951,536,True
2987,537,True
4411,538,True
3991,539,True
3857,540,True
649,541,True
3270,542,True
1245,543,True
1127,544,True
2154,545,True
1929,546,False
857,547,False
3453,548,True
3187,549,True
3645,550,True
5524,551,True
1727,553,True
2504,554,True
2809,555,True
4343,556,True
3887,557,True
28,558,True
4560,559,True
1933,560,True
4009,562,True
1788,563,True
2416,564,True
5249,566,False
157,569,True
3716,570,False
3521,571,False
5643,572,True
5835,573,True
3309,574,True
4164,575,True
170,576,True
1256,577,True
734,578,False
2382,579,True
4723,580,False
5654,581,True
3274,582,True
4965,583,False
3575,584,False
3592,585,False
3996,586,True
3556,587,True
1104,588,True
436,589,True
394,589,True
3212,590,True
769,591,True
1558,591,False
1002,592,True
5320,593,True
3413,595,False
3958,596,True
2225,596,False
5395,597,True
4392,599,True
2809,600,True
5854,601,True
1641,602,True
208,603,True
5906,604,True
5615,606,True
1190,607,True
4440,608,True
2274,612,True
791,613,True
4937,614,True
5234,615,True
911,616,True
5136,619,False
3075,620,True
2915,621,True
5526,622,True
3355,624,False
1763,625,True
2572,626,True
3092,627,True
749,628,True
2487,629,True
3543,630,True
3552,631,True
3780,632,False
3547,633,True
3489,634,True
4743,635,True
4504,636,True
5336,638,True
2810,639,True
924,640,True
3575,641,True
5758,642,True
3790,643,False
1984,647,False
1691,648,True
476,651,True
2661,652,True
3592,654,False
3540,655,True
4051,655,True
4520,656,True
284,657,True
4238,658,True
3096,659,False
2066,660,True
4168,661,True
604,662,True
3013,663,True
5671,663,True
2809,666,True
1119,667,True
3398,669,True
1805,670,True
5218,671,True
5993,673,True
2816,675,False
3882,676,True
4398,677,True
808,678,False
5,679,True
1225,680,True
5223,681,True
1557,685,True
3587,687,True
676,688,True
3960,690,True
2073,692,True
4379,693,True
5756,695,True
52,696,False
391,697,True
2808,698,True
63,699,False
5938,700,False
2809,701,True
2809,702,True
3641,703,True
2616,704,True
1532,705,True
3041,706,False
4986,707,False
5331,708,True
1998,710,False
2662,711,False
241,713,True
4398,714,True
1121,715,False
2711,716,True
3229,717,True
2082,719,True
3302,720,True
3834,721,True
4066,722,True
2094,723,True
3999,724,True
10,725,True
2065,726,True
10,727,True
3031,728,True
3351,729,False
5345,730,False
5903,731,True
2774,732,True
22,733,True
5395,734,True
3379,736,True
3088,737,True
3637,739,True
4331,741,True
3345,742,True
4325,743,False
1681,744,False
2315,745,False
4513,746,True
3733,747,True
1333,748,True
1981,749,True
2755,750,True
5590,752,True
1509,753,True
5310,754,True
2511,756,False
3161,757,False
4946,758,False
3910,759,True
4424,760,True
3271,761,False
5817,762,False
1111,763,True
2884,764,True
1665,764,False
4828,765,True
2977,766,True
1832,767,True
214,768,True
5232,769,True
2809,771,True
2547,773,True
4037,773,True
4175,774,True
2809,776,False
5837,777,True
1551,778,True
1708,779,True
5354,779,True
4095,780,False
4365,781,False
1132,782,True
4695,783,True
2742,784,True
1040,785,True
68,787,True
2610,788,True
4297,790,True
1711,791,True
2451,792,True
2937,793,True
935,795,True
566,796,False
5654,797,True
5206,798,True
4738,800,True
3536,801,True
3967,803,False
2809,804,False
1005,805,True
182,807,True
4986,809,True
5866,810,True
5181,812,True
3386,813,False
5223,814,True
5735,816,True
2085,817,True
2960,818,True
2154,818,True
3814,819,False
2809,820,True
4873,821,False
2688,822,True
198,822,True
598,824,True
2287,825,True
1475,826,True
2404,827,True
5671,829,True
1922,830,False
1827,830,True
5863,831,True
5554,832,True
4813,833,True
4386,834,True
2192,836,True
133,838,True
455,840,True
5331,841,True
3944,842,False
4174,844,True
3351,845,False
1109,847,True
4452,849,True
2721,850,True
3751,852,True
2973,854,True
3215,856,True
3367,859,True
3678,860,True
4037,861,True
4240,862,True
5297,863,False
1210,864,True
4511,865,True
1089,866,True
518,867,True
723,868,True
373,870,False
2543,870,True
5267,871,True
5634,872,True
4864,873,True
5108,875,True
1996,877,True
3271,878,False
1376,879,True
3586,880,True
2987,883,True
4864,884,True
3677,885,True
1340,886,True
1356,887,True
3271,888,True
5607,889,True
548,890,False
4557,891,True
3645,892,True
1089,894,True
4935,895,False
1119,896,True
4741,897,False
5126,898,False
1619,899,True
5624,900,True
947,901,True
3930,903,True
3291,904,True
5986,905,False
3761,906,False
83,907,True
4807,908,False
4036,909,True
805,910,True
1039,912,False
2085,913,True
102,916,True
3940,917,False
3831,919,True
5431,920,False
3715,921,True
4616,923,True
2853,924,True
3632,925,True
3324,928,True
160,929,True
4404,930,True
2401,932,True
452,933,True
4821,934,True
926,935,False
3106,935,False
4105,935,True
1838,935,True
1189,935,True
1444,936,True
1133,937,True
4856,938,True
5187,940,True
3069,941,False
2726,942,True
781,947,True
3271,949,False
1872,951,False
428,952,True
2175,953,True
4750,954,True
4537,955,True
6011,956,True
64,958,True
5328,959,True
2605,960,False
5074,961,True
246,962,True
3157,963,True
3079,964,False
2998,965,True
2445,965,False
785,966,False
5901,968,True
5385,969,True
1989,969,True
2887,971,True
5707,972,False
2587,973,True
3413,974,True
1373,975,True
97,976,True
3190,977,True
4165,978,False
4254,979,True
4164,980,True
1782,981,True
1356,982,True
3757,983,True
982,984,True
3087,985,True
5930,986,True
3067,987,True
1993,989,True
4264,991,True
612,993,False
2325,994,True
355,995,True
2147,996,False
4419,998,True
308,999,True
4511,1000,True
3857,1001,True
3682,1002,False
4704,1003,True
4053,1005,False
2476,1006,True
