D1,D2,responses
1177,0,record 1: The Host and the Cloud 2013-01-01
1977,1,False
4323,2,False
1616,3,False
2660,4,"If the records are referring to the same person, then answer with ""True"
4967,5,Answer: False
882,6,False
1409,7,False
1618,8,My training data only goes up until a certain point in time
1287,9,False
1346,10,Answer: True
677,11,True
1467,12,Answer: False
3768,13,False
4095,13,"If ""Guest in the Night"" and ""Tom Amandes guestStars"" are referring to the same episode or production, then answer with True"
1040,14,False
4799,15,False
4994,16,False
3592,17,If the records are referring to the same person (Alan Hale Jr
201,18,Answer: False
3256,19,"If the records are referring to the same person, answer with True"
1572,20,True
3143,21,False
82,22,False
4373,23,False
127,24,True
3764,25,True
1708,26,False
1241,27,Answer: True
2809,28,False
1177,29,False
4164,30,True
2333,31,True
4428,32,False
1731,33,False
1040,34,False
3955,35,Answer: False
201,35,False
2459,36,"If the records are referring to the same person, enter ""True"
271,37,False
373,38,False
1929,39,"If the records are referring to the same person, answer with True"
4798,40,False
4095,41,Answer: False
1489,42,"If the two records are referring to the same person, then the answer is True"
3990,43,True
1746,44,False
1040,45,False
1040,46,False
1287,48,False
3883,49,"If the individuals referred to in both records are the same person, their names being different due to variant spellings, then the answer is True"
4095,50,False
1334,51,Example 3: 
639,52,False
1740,53,False
1028,54,True
180,55,True
3226,56,False
4252,57,Answer: False
3609,58,False
4798,59,False
1040,60,False
1114,61,True
4688,62,False
3451,63,Answer: False
1916,64,False
3732,65,True
4395,66,"False, as The Day of the Whale (1962) and Cold Sweat (2) (1999-07-10) are two separate record descriptions"
4868,67,False
898,68,True
1877,69,True
4840,70,True
2338,71,"The records refer to the same entity, therefore the answer is True"
2549,72,False
2259,73,Answer: False
3449,74,False
3449,75,True
4759,77,False
2486,78,False
109,78,False
3412,80,False
3072,81,False
4771,82,False
3256,83,False
3955,84,True
1616,85,False
1040,86,False
2605,87,True
3730,88,True
596,89,False
779,90,True
2214,91,False
3381,92,False
2272,93,"If they are referring to the same person, the answer is True"
4772,94,False
3226,95,False
3734,96,False
898,98,Answer: False
846,99,"If the records refer to the same person, answer with ""True"
2319,100,False
4840,101,True
2464,102,"If the records refer to the same person, answer with ""True"
2472,103,False
4920,104,False
1404,106,True
179,107,False
854,108,True
4077,109,False
3205,110,"If the records are referring to the same person (Terike Haapoja), then the answer is True"
2534,111,"If the records are referring to the same person, answer ""True"
2203,112,False
3057,113,False
2263,114,Answer: False
896,115,"record 1: The Shawshank Redemption 1994-09-23 Drama,Crime,Thriller, record 2: Shawshank Redemption The Shawshank Redemption is a 1994 American drama film directed by Frank Darabont, based on the short story ""Rita Hayworth and Shawshank Redemption"" by Stephen King"
4071,116,False
3006,117,"The records refer to the same entity (TV episode) in this case, as they both fall under the TV show ""The Reunion"" and have overlapping air dates"
2340,118,False
31,119,"If the records are referring to the same person, then the answer is True"
3675,120,False
1899,121,True
3059,122,False
3044,123,False
1040,123,False
3764,124,True
2397,125,Answer: False
1478,126,False
3194,127,"If the records are referring to the same person, then answer with ""True"
1507,128,Example 3:
4009,129,True
1864,130,False
910,131,Answer: False
2608,132,Answer: False
2886,133,False
4800,134,False
3352,135,False
1845,136,Answer: False
1040,137,Answer: False
4683,138,False
3076,139,False
1821,140,Answer: False
2861,141,True
2427,143,False
69,144,"Doc Hammer is a multi-talented individual who has worked as both a visual effect artist and an actor, as well as written for various projects"
4017,145,False
4251,146,True
3380,147,"If the appearances of James Urbaniak in both records refer to the same instance, then answer with ""True"
1521,148,False
4095,149,False
201,150,"If the movie ""Director's Cut"" is directed by David Moore, then answer with True"
4095,151,"If ""Guest in the Night"" is a movie/show featuring Pat McNamara as a guest star, then the answer would be True"
1756,152,False
1478,153,False
2914,154,True
1040,155,False
66,156,False
1115,157,True
3226,158,"If ""Not in Our Stars"" is a movie/TV show and ""Beau Starr guestStars"" is referring to an actor who appeared in that particular episode/movie, then:"
3272,159,False
2928,160,False
676,162,False
3399,163,True
520,164,False
918,165,Answer: False
4907,166,Answer: True
2353,167,True
2650,168,False
4237,169,False
2249,171,"If the records are referring to the same person (Timothy Hutton), then the answer is True"
4095,172,"If ""Guest in the Night"" is referring to a specific character or person and Joey Perillo also appeared as a guest in that context, then answer with ""True"
1657,173,False
4341,174,False
13,175,False
4373,176,Answer: False
2609,177,False
2897,178,False
3477,180,False
2867,181,Answer: False
2632,182,False
1715,183,False
2549,184,False
3102,185,False
614,187,False
1320,188,Answer: False
4690,189,False
3757,190,Theodor Grödler was a director and writer in 1921
2237,191,False
161,192,True
3451,193,Answer: False
1570,194,"If the records are referring to the same person (Madlyn Rhue), then answer is True"
3205,195,Answer: True
559,196,False
3067,198,True
1895,199,False
2846,200,False
845,201,False
4608,203,Answer: False
313,204,True
318,205,"True, as both records refer to the same person, Pekka Lehto"
5013,206,True
854,208,True
1799,209,False
1705,210,Answer: False
1124,212,"If the records represent two separate instances of Natalie Trundy, then the answer is False"
779,213,"If the records are referring to the same person, answer with ""True"
3524,214,True
4359,215,"record 1: Double Blind (1997-01-01) - Crime,Drama,Mystery genre"
693,216,True
4143,218,True
4882,219,True
4547,220,False
3000,222,False
4402,223,Answer: False
4095,224,"If ""Guest in the Night"" is a drama and ""Theara J"
4095,225,"If ""Guest in the Night"" is a specific episode of a TV show or movie, and ""Joaquin Obradors"" is a guest star appearing on that episode, then the answer would be: True"
4596,226,True
1040,227,False
4095,228,"If ""Guest in the Night"" and ""Harant Alianak guestStars"" refer to the same person, then answer is True"
2287,229,False
3622,230,True
4959,231,False
1891,232,False
437,233,False
676,234,False
271,235,False
2968,236,True
192,237,"To determine whether the records refer to the same entity or not, we need to check if both records are about the same person named Jeanne Cooper"
2970,238,Answer: False
