dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
tmdb,tvdb,D7,gemma3n-z-p2,1268.88,27.99,99.39,43.67,1.00,vector_based_examples_dict_1,3466,73.92
tmdb,tvdb,D7,gemma3n-ft-p2,1923.04,33.64,96.11,49.84,1.00,vector_based_examples_dict_1,2788,67.43
tmdb,tvdb,D7,gemma3n-tf-p2,1918.89,33.98,96.62,50.28,1.00,vector_based_examples_dict_1,2775,67.06
tmdb,tvdb,D7,qwen2.5-z-p2,677.38,41.28,98.67,58.20,1.00,vector_based_examples_dict_1,2333,47.54
tmdb,tvdb,D7,qwen2.5-ft-p2,695.76,45.37,98.46,62.12,1.00,vector_based_examples_dict_1,2118,35.46
tmdb,tvdb,D7,qwen2.5-tf-p2,698.77,44.34,98.67,61.18,1.00,vector_based_examples_dict_1,2172,37.52
tmdb,tvdb,D7,llama3.1-z-p2,707.15,25.08,97.34,39.88,1.00,vector_based_examples_dict_1,3788,90.87
tmdb,tvdb,D7,llama3.1-ft-p2,719.97,28.21,80.84,41.82,1.00,vector_based_examples_dict_1,2797,90.87
tmdb,tvdb,D7,llama3.1-tf-p2,723.65,22.63,92.93,36.40,1.00,vector_based_examples_dict_1,4008,90.87
tmdb,tvdb,D7,orca2-z-p2,569.09,39.00,96.62,55.57,1.00,vector_based_examples_dict_1,2417,90.87
tmdb,tvdb,D7,orca2-ft-p2,589.34,35.64,83.40,49.94,0.99,vector_based_examples_dict_1,2274,90.87
tmdb,tvdb,D7,orca2-tf-p2,580.78,38.70,77.36,51.59,1.00,vector_based_examples_dict_1,1950,90.87
tmdb,tvdb,D7,openhermes-z-p2,558.40,33.72,98.05,50.18,1.00,vector_based_examples_dict_1,2838,60.18
tmdb,tvdb,D7,openhermes-ft-p2,586.73,33.32,97.64,49.69,1.00,vector_based_examples_dict_1,2860,65.31
tmdb,tvdb,D7,openhermes-tf-p2,590.11,28.52,98.57,44.24,1.00,vector_based_examples_dict_1,3373,73.47
tmdb,tvdb,D7,zephyr-z-p2,735.24,41.88,91.70,57.50,0.86,vector_based_examples_dict_1,1927,90.87
