D1,D2,responses
3333,0,True
977,2,False
591,3,False
2260,4,"record 1: Michael Jordan 1963-02-17 basketball player, record 2: Michael Joseph Jordan 1963-02-17 basketball player"
1607,5,True
74,6,False
1739,7,False
690,8,Answer: False
4612,9,False
3609,9,False
2881,10,"record 1: Elon Musk 1971-06-28 Entrepreneur,Engineer,Business magnate,record 2: Elon Musk Founder,CEO,CTO of SpaceX; Angel investor, CEO of Tesla Motors; Chairman of SolarCity; Co-founder of PayPal, Inc"
2508,11,False
4725,11,False
3135,12,True
3400,13,False
4920,14,False
1448,15,False
3711,16,False
3153,17,False
1174,17,False
895,17,False
1214,18,False
4393,19,False
4420,20,False
3549,21,False
1123,22,False
1360,23,False
2971,24,True
4547,25,False
3939,26,False
1714,27,"record 1: Bill Gates 1955-09-28 entrepreneur,computer scientist,businessperson,record 2: William Henry Gates III"
968,28,True
481,29,Answer: False
2887,30,False
2016,31,False
1492,32,True
1056,33,False
2652,34,False
959,35,False
294,36,False
2574,37,"False, as the first record is a movie title (Tightwad Millionaire) released in 1956, while the second record is a news article published on February 19, 1956, about the same movie"
273,38,False
3499,39,False
2673,40,True
138,41,True
2225,42,False
3092,43,False
910,44,False
1662,45,True
54,46,"Answer: False, as the first record is a movie title (Ede's Bombshell) and the second record is a description of something (Ede's Bombshell) that happened on a specific date"
4494,47,False
2011,48,False
2336,49,Answer: False
4736,50,True
2013,51,"False, as the first record describes a drama released in 1954, while the second record provides the release date of the same drama"
505,52,False
959,53,False
3074,54,False
3404,55,False
5054,56,False
3082,56,"Record 1 and record 2 both refer to the same event or series, so the answer would be: True"
2240,56,record 1: D
3749,57,False
1367,58,False
4351,59,False
4202,60,False
546,61,False
4872,62,True
4290,63,False
4949,64,Example 3: 
4836,65,"False, as the first record is a movie title (The Calf) from 1961, while the second record is a date (January 29, 1961)"
824,66,True
5051,67,Record descriptions provided do not explicitly state if the records refer to the same entity or not
4896,68,Example 3:
639,69,False
768,70,False
3262,71,False
2451,72,False
11,73,False
2322,74,False
3188,75,True
83,76,False
4734,77,False
4356,78,False
495,79,False
2467,80,Answer: True
2698,81,"If the secret answer in record 1 is actually referring to an entity, and the other record does not provide enough information to determine if it refers to the same entity, then you must answer False"
2210,82,False
1891,83,True
4030,84,False
4030,85,False
438,86,False
3174,87,False
140,88,False
4093,89,False
2625,90,True
994,91,False
3956,92,False
791,93,Example 3:
4829,94,False
2198,95,False
1593,96,Answer: True
948,97,"record 3: William Smithrovic 1947-01-01 actor,writer,record 4: Bill Smitrovich"
1186,98,False
1866,99,False
669,100,False
1746,101,True
2921,102,False
756,102,False
3028,103,True
180,104,False
1018,105,False
2524,106,"record 1: Bill Gates 1955-10-28 Founder of Microsoft, record 2: Bill Gates Foundation 2007-06-23 NGO/Foundation"
4131,107,False
4075,108,False
4547,109,False
2265,110,False
1913,111,False
4632,112,"record 3: Stanisław Szukalski 1938-05-06 artist,writer,sculptor, record 4: Stanisław Szukalski"
1415,113,False
4198,114,False
4233,115,False
1820,116,False
953,117,False
959,118,False
5000,119,False
1127,120,False
5095,122,"Record 1 and Record 2 both refer to the same entity, as they both include the names Mary, Joseph, and Larry in their descriptions"
3359,123,True
1052,124,True
4252,125,False
569,126,False
2591,127,False
4184,128,False
4794,129,False
4184,130,False
3923,131,False
941,131,False
1756,132,False
764,133,"record 1: Elon Musk CEO of SpaceX,CEO & CTO of Tesla Motors,chairman of SolarCity,founder,CEO,CTO&CSO of PayPal,entrepreneur founder of X"
1848,134,True
991,136,False
4583,137,False
1994,138,False
289,139,"record 1: Deepak Sharma actor,record 2: Dinesh Sharma actor"
1868,140,False
1464,141,False
4014,143,False
1429,144,False
2411,145,"record 1: Leonid Kalashnikov 2005-01-01 1926-01-01 cinematographer, record 2: Leonard Klimov 1933-07-18 1926-01-01 director, screenwriter, cinematographer Answer with False"
858,146,False
3353,147,True
1224,148,False
1404,149,False
4026,150,Example 3:
17,150,Example 3:
4829,151,False
808,152,"record 1: Michael Douglas actor,producer,executive_role,screenwriter,record 2: Michael Douglas executive producer"
2420,153,False
1911,154,False
3125,155,False
4547,156,False
1127,156,False
1434,157,False
481,158,False
4123,159,False
290,160,False
2722,161,False
4030,162,False
4354,163,False
918,164,False
2456,165,"record 1: Mariah Carey singer, record 2: Mariah Carey philanthropist"
2804,166,False
4034,167,False
201,168,True
1186,169,False
3044,170,False
4184,171,False
1666,172,True
2015,173,False
3542,174,"record 3: Emma Watson 1995-04-15 actress,model,record 4: Emma Charlotte Duerre Watson born 15 April 1995 is a British actress, model, and UN Women Goodwill Ambassador"
4164,175,True
4237,176,"record 1: Lawrence Jackson III, record 2: Lawrence Jackson III"
3042,177,Answer: True
526,178,False
4252,179,False
4495,180,"False, as record 1 and record 2 describe different entities - while record 1 refers to a dramatic work titled PMTA, recorded in 2018, record 2 refers to a person named Marcel Ben David who joins an organization called PMTA"
1177,181,"record 1: The Paparazzo Affair Strange things have been happening, first Duc was chased by two crooks to the Sensa News, then the crooks try to take Duc from Sensa News"
276,182,True
4393,183,False
3310,184,False
3464,185,False
3156,186,False
3728,187,False
3175,188,Example 3:
286,189,False
4171,190,True
1756,191,False
2216,192,False
696,193,False
3000,194,False
1146,195,False
1415,196,False
3481,197,False
645,198,True
2804,199,False
5026,200,True
4252,201,False
3795,202,"False, as the two record descriptions refer to different crimes and episodes"
1044,203,False
3681,204,True
1415,205,"False, as Shihui Cheng and Silver & Gold Productions are separate entities"
1877,206,False
4533,207,True
1756,208,False
1491,209,False
759,210,False
336,212,False
3234,213,False
907,214,False
1865,215,False
4821,216,Example 3:
733,217,False
1039,218,False
910,219,False
4467,220,False
3326,221,False
3482,222,False
345,223,"record 1 and record 2 both refer to Crime Investigation Australia, so the answer would be True"
4829,224,False
273,225,"record 1: Pierre Cendors writer, birth=1907-11-15, death=1996-03-08, nationality=French"
629,226,False
5031,227,False
4395,228,"False, as ""The Day of the Whale"" and ""Cold Sweat (2)"" are different record descriptions"
4995,229,False
2537,230,"record 1: Barack Obama 1961-08-04 Politician, record 2: Barack Obama 1961-08-04 President, Vice President"
3269,231,"record 1: The Notebook (2004) Romance, Drama, record 2: The Notebook (2006) Drama, Romance"
4612,232,False
3609,232,False
1549,233,False
5048,234,False
1382,235,False
4729,236,False
432,237,False
4753,239,False
4642,240,True
590,241,True
2216,242,"record 1: Mahatma Gandhi, 1869-10-02 Biography, Politician, Lawyer, record 2: Mohandas Karamchand Gandhi, 1869-10-02 Biography, Politician, Lawyer"
3937,243,False
3753,244,False
2030,244,False
1756,244,False
4467,245,False
936,246,False
4165,247,False
4858,248,"False, based on the description provided"
1705,249,False
3815,250,False
3233,251,False
2504,252,False
3653,253,Example 3: 
994,254,False
4393,255,False
177,256,True
1040,257,"False, as the first record provides additional information about Frank Zweers being a director, while the second record only mentions his name without any further context"
629,258,False
3088,259,False
27,260,False
2368,261,"record 1: Barack Hussein Obama II 1961-08-04 president, record 2: Barack H"
263,262,False
2484,264,"record 3: Gary Fleder 1965-01-01 film_producer, director, miscellaneous, record 4: Gary Fleder film_producer, director, miscellaneous"
4056,265,Example 3:
372,266,False
1616,267,False
1422,268,False
641,269,False
2720,270,False
1363,271,True
4753,272,False
4245,273,False
