,D1,D2,responses
0,0,19009,True
1,0,21897,False
2,0,9462,False
3,1,17828,False
4,1,1643,False
5,1,16447,False
6,2,11472,False
7,2,3384,False
8,2,18028,False
9,3,10299,True
10,3,4378,True
11,3,21424,False
12,4,11725,False
13,5,6047,False
14,5,20932,True
15,5,10422,True
16,6,9015,False
17,7,1303,True
18,7,7226,False
19,7,21840,False
20,8,2263,True
21,8,18908,False
22,8,10780,False
23,9,2456,False
24,9,476,False
25,10,15905,False
26,10,12841,False
27,10,14740,False
28,11,7783,False
29,11,7666,False
30,11,3541,False
31,12,6062,False
32,12,401,False
33,13,9360,False
34,13,12285,False
35,14,1699,False
36,15,17810,True
37,15,17364,True
38,15,4282,True
39,16,7991,False
40,16,3241,False
41,17,11721,False
42,17,1761,True
43,18,2734,False
44,18,11026,False
45,19,19596,True
46,19,17429,True
47,19,13057,True
48,20,16161,True
49,20,11936,False
50,20,16837,True
51,21,14835,False
52,21,7853,False
53,22,21284,True
54,22,17882,True
55,22,17391,True
56,23,20955,False
57,23,643,False
58,23,8253,False
59,24,13450,False
60,24,12804,False
61,24,10757,False
62,25,6984,False
63,25,2544,False
64,25,21826,False
65,26,15322,False
66,26,18788,False
67,26,537,False
68,27,18635,False
69,27,9821,False
70,27,10473,True
71,28,1894,False
72,28,17011,False
73,28,14112,False
74,29,6031,True
75,29,22010,False
76,29,8070,True
77,30,11088,True
78,30,15046,False
79,30,13118,True
80,31,18643,False
81,31,18620,False
82,31,16173,True
83,32,11384,False
84,32,13381,False
85,32,21567,False
86,33,12551,False
87,33,6432,False
88,33,10517,False
89,34,5118,False
90,34,21044,False
91,34,13062,False
92,35,16020,False
93,35,8092,False
94,35,7381,True
95,36,21331,False
96,36,599,False
97,36,2136,False
98,37,15178,False
99,37,2440,False
100,37,6357,False
101,38,19129,False
102,38,21628,False
103,39,1494,False
104,39,10872,True
105,39,21079,False
106,41,21700,False
107,41,6816,True
108,41,10802,False
109,42,13828,False
110,42,18839,False
111,42,172,True
112,43,902,False
113,43,130,False
114,43,45,False
115,44,6041,False
116,44,13045,False
117,45,21787,False
118,46,7695,False
119,46,15637,False
120,46,19698,True
121,47,15950,False
122,47,14934,False
123,47,1149,False
124,48,5920,False
125,49,8095,False
126,49,8096,False
127,49,6064,False
128,50,16665,False
129,50,16936,False
130,50,2013,False
131,51,11090,False
132,51,20622,False
133,51,9388,False
134,53,17892,False
135,54,19790,False
136,54,649,False
137,54,6572,True
138,55,1559,False
139,55,12913,False
140,55,8902,False
141,56,11153,False
142,56,209,False
143,56,16349,False
144,57,12060,False
145,57,19357,True
146,57,13302,False
147,58,9328,False
148,58,20807,False
149,58,21239,True
150,59,2162,True
151,61,433,False
152,61,2378,False
153,61,20722,False
154,62,17073,False
155,62,1671,False
156,62,13600,False
157,63,16321,False
158,63,12675,True
159,63,17509,False
160,64,8391,False
161,64,18372,True
162,65,12292,False
163,65,11129,False
164,65,8836,True
165,66,7661,False
166,66,13626,False
167,66,3668,True
168,67,14617,False
169,67,4646,False
170,67,14615,False
171,68,1303,False
172,68,15251,False
173,69,20427,False
174,69,14641,False
175,69,21809,True
176,70,16952,False
177,70,3747,True
178,70,20306,True
179,71,19038,False
180,71,21679,True
181,71,5915,True
182,72,1711,False
183,72,6043,False
184,72,1989,False
185,73,21547,True
186,73,19782,False
187,73,7202,False
188,74,12054,False
189,74,14623,False
190,74,10382,False
191,75,21613,False
192,75,13886,False
193,75,15871,False
194,76,19387,False
195,76,20515,False
196,76,14467,False
197,77,9009,False
198,77,13395,False
199,77,2516,False
200,78,8603,False
201,78,15544,False
202,79,18187,True
203,79,17238,True
204,79,18495,True
205,80,6751,False
206,80,6526,True
207,80,17375,True
208,81,17194,True
209,82,21003,False
210,82,19292,False
211,82,7743,False
212,83,7220,False
213,83,21078,False
214,83,20992,False
215,84,14769,False
216,84,9262,False
217,84,19088,False
218,85,9496,True
219,85,9262,False
220,85,19088,False
221,86,11617,True
222,86,7610,False
223,86,9636,False
224,88,19477,False
225,88,18980,True
226,88,3269,False
227,89,14042,False
228,89,10105,False
229,89,2097,False
230,90,21309,False
231,90,4403,False
232,90,20354,False
233,91,20811,False
234,91,13412,True
235,91,17687,True
236,92,8088,False
237,92,10206,False
238,93,3294,False
239,93,8348,False
240,93,8350,True
241,94,21060,False
242,94,6087,False
243,94,19078,False
244,95,14940,True
245,95,9682,False
246,95,10966,True
247,97,12286,False
248,97,15904,True
249,98,751,False
250,98,2775,False
251,99,6551,True
252,99,4520,True
253,99,10545,True
254,100,15194,True
255,100,15195,False
256,100,17359,False
257,101,10615,True
258,101,13100,False
259,101,21551,False
260,102,11759,True
261,102,15715,False
262,102,5737,False
263,104,11791,False
264,104,3768,False
265,104,5756,False
266,105,7836,False
267,105,13687,False
268,105,4773,False
269,106,9223,False
270,106,17912,False
271,107,12090,False
272,107,4082,False
273,107,13383,False
274,108,19395,False
275,108,21709,True
276,108,21711,False
277,109,4670,False
278,109,20132,False
279,109,5970,False
280,110,20707,False
281,110,18068,False
282,110,20857,False
283,111,879,False
284,111,8850,False
285,111,11163,True
286,112,5761,False
287,112,4233,False
288,112,9830,False
289,114,9223,False
290,114,19066,False
291,114,3497,False
292,115,4230,False
293,115,3866,False
294,115,4229,False
295,116,10192,False
296,116,6122,False
297,116,15862,False
298,117,15292,False
299,117,7323,True
300,117,15295,False
301,118,17041,True
302,118,16887,False
303,118,17815,False
304,119,20772,False
305,119,21976,False
306,119,3290,False
307,120,14795,True
308,120,5332,False
309,120,2669,False
310,121,13730,False
311,121,21110,False
312,121,1501,False
313,122,14490,False
314,122,15661,True
315,122,8859,True
316,123,20131,False
317,123,12868,False
318,123,4194,True
319,124,10929,True
320,124,10931,True
321,124,8974,False
322,125,9215,True
323,125,6164,False
324,125,12735,False
325,126,21436,False
326,126,2803,False
327,126,1555,True
328,127,17577,True
329,127,7904,False
330,127,8483,False
331,128,10640,True
332,128,5324,False
333,128,2701,False
334,129,10654,True
335,129,8121,True
336,129,8638,True
337,130,9890,False
338,130,6836,False
339,130,14783,True
340,131,15334,False
341,131,3370,False
342,131,5595,True
343,132,21615,False
344,133,18758,False
345,134,9520,False
346,134,15451,False
347,134,3740,True
348,135,15301,False
349,136,2576,True
350,136,12581,True
351,136,613,False
352,137,12747,False
353,137,19728,False
354,137,20841,False
355,138,11468,True
356,139,14020,False
357,139,21687,True
358,139,2069,False
359,140,13715,False
360,140,11756,True
361,140,11757,False
362,141,7856,False
363,141,8172,False
364,141,2644,False
365,143,15610,False
366,143,18949,False
367,143,16495,False
368,145,4537,False
369,145,8602,False
370,145,10613,False
371,146,12097,False
372,146,20544,False
373,146,20185,False
374,147,2234,True
375,147,14094,False
376,147,21192,True
377,148,16398,True
378,148,16350,True
379,148,18936,True
380,149,21823,False
381,149,19030,True
382,149,21714,False
383,150,21709,False
384,150,1288,False
385,150,5836,False
386,151,14577,True
387,151,6619,False
388,151,691,False
389,152,13126,False
390,153,3766,False
391,153,17500,False
392,154,14666,False
393,154,16767,False
394,154,16442,False
395,155,3446,False
396,155,14647,False
397,157,18569,True
398,157,16205,True
399,157,17960,False
400,158,20459,False
401,158,12675,False
402,158,12342,False
403,159,20821,True
404,159,18358,False
405,159,9709,False
406,160,985,True
407,160,17734,False
408,160,8085,False
409,162,18348,True
410,162,18406,False
411,162,9494,False
412,163,9824,True
413,163,123,True
414,163,12528,False
415,164,18937,True
416,164,15897,False
417,164,15832,False
418,165,16852,False
419,165,5411,False
420,165,16256,False
421,166,12781,False
422,166,14680,False
423,167,8976,False
424,167,10939,False
425,167,4930,False
426,168,12248,False
427,168,20286,True
428,168,18983,True
429,169,20035,False
430,170,4112,False
431,170,8074,False
432,170,8126,False
433,171,12028,False
434,172,1152,False
435,172,9213,False
436,173,16412,False
437,173,1249,True
438,173,20474,True
439,174,12978,False
440,174,12474,False
441,174,10138,False
442,175,20939,False
443,175,5431,True
444,175,6876,False
445,176,4854,True
446,176,20341,False
447,176,475,False
448,177,13618,False
449,177,6961,False
450,177,10949,False
451,178,16537,True
452,178,19149,True
453,178,16536,True
454,179,8545,True
455,179,6482,True
456,179,12525,True
457,180,4670,False
458,180,20132,False
459,180,5970,False
460,181,12012,True
461,181,8829,False
462,181,3981,False
463,182,7399,True
464,182,7401,False
465,182,11385,False
466,183,2534,False
467,183,1402,False
468,184,2959,True
469,184,18874,False
470,184,17736,True
471,185,19387,False
472,185,20515,False
473,185,14467,False
474,186,1928,True
475,186,9898,False
476,186,10172,False
477,187,14759,False
478,188,2592,True
479,188,17020,True
480,188,9978,True
481,189,148,False
482,189,3337,False
483,189,17487,True
484,190,7523,False
485,190,19649,False
486,191,5169,False
487,191,1243,False
488,191,11197,True
489,192,20900,False
490,192,11131,False
491,193,20900,False
492,193,19880,True
493,194,20939,True
494,194,5431,True
495,194,6876,True
496,195,1647,False
497,195,13143,False
498,195,11254,False
499,196,13208,False
500,196,21969,False
501,196,19594,False
502,197,19804,False
503,197,19053,False
504,197,12956,False
505,201,20923,False
506,201,1232,False
507,201,21085,False
508,202,2447,True
509,202,7497,False
510,202,11491,False
511,203,3336,False
512,203,18053,False
513,203,9398,False
514,204,2306,False
515,204,285,False
516,205,10648,False
517,205,714,False
518,205,10517,True
519,206,10680,False
520,206,15467,False
521,208,6711,False
522,208,12738,False
523,208,6710,False
524,209,18713,False
525,209,2398,False
526,209,20929,False
527,210,21483,False
528,210,11658,False
529,210,19634,False
530,211,16586,False
531,211,16307,False
532,211,400,True
533,213,7531,False
534,214,14298,False
535,214,6315,False
536,214,15296,False
537,215,10600,True
538,215,6601,False
539,215,10598,False
540,216,17033,False
541,216,1952,False
542,216,15764,False
543,217,5274,True
544,218,5046,True
545,218,20085,False
546,218,20398,False
547,219,8696,False
548,219,730,False
549,219,2725,False
550,220,1071,True
551,220,14095,False
552,220,9038,False
553,221,9431,False
554,221,9446,False
555,221,16624,False
556,222,13315,False
557,222,1354,False
558,222,17534,False
559,223,13955,False
560,223,13956,False
561,223,11996,False
562,224,21724,True
563,224,19816,True
564,224,19489,False
565,225,12627,True
566,225,10571,False
567,225,107,False
568,226,18874,False
569,226,18373,True
570,226,15314,False
571,228,20215,False
572,228,21920,True
573,229,13258,True
574,229,11249,False
575,229,3282,False
576,230,11598,False
577,231,10817,False
578,231,10436,False
579,232,16219,False
580,232,7483,False
581,234,16289,True
582,234,17805,True
583,234,4268,False
584,235,5958,True
585,235,5959,True
586,235,21783,True
587,236,19949,False
588,236,20342,True
589,236,18823,False
590,237,20349,True
591,237,20342,False
592,237,11722,False
593,238,14451,False
594,238,4451,False
595,238,12532,False
596,239,10616,False
597,239,10617,False
598,239,8651,False
599,240,11881,False
600,240,15549,False
601,240,3594,False
602,241,6970,False
603,241,13813,False
604,241,7882,False
605,242,11691,True
606,242,10180,False
607,243,10719,False
608,243,13747,False
