dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts,RAM-USAGE,VRAM-USAGE
imdb,tvdb,D6,gemma3n-z-p2,847.04,49.91,97.66,66.06,1.00,vector_based_examples_dict_1,1753,46.83,3.99,7.43
imdb,tvdb,D6,gemma3n-ft-p2,1126.30,56.22,96.32,71.00,1.00,vector_based_examples_dict_1,1535,41.17,4.23,7.43
imdb,tvdb,D6,gemma3n-tf-p2,1125.35,55.80,97.77,71.05,1.00,vector_based_examples_dict_1,1570,41.02,4.24,7.43
imdb,tvdb,D6,qwen2.5-z-p2,427.68,59.23,89.84,71.40,1.00,vector_based_examples_dict_1,1359,33.55,4.23,4.78
imdb,tvdb,D6,qwen2.5-ft-p2,438.16,59.28,73.44,65.60,1.00,vector_based_examples_dict_1,1110,28.56,3.68,4.78
imdb,tvdb,D6,qwen2.5-tf-p2,439.69,56.60,66.96,61.35,1.00,vector_based_examples_dict_1,1060,29.91,3.67,4.78
imdb,tvdb,D6,llama3.1-z-p2,445.78,27.86,84.82,41.94,1.00,vector_based_examples_dict_1,2728,89.98,3.66,10.01
imdb,tvdb,D6,llama3.1-ft-p2,450.35,32.62,68.08,44.11,1.00,vector_based_examples_dict_1,1870,89.98,3.93,10.01
imdb,tvdb,D6,llama3.1-tf-p2,450.50,27.85,74.11,40.49,1.00,vector_based_examples_dict_1,2377,89.98,3.94,10.01
imdb,tvdb,D6,orca2-z-p2,316.76,51.45,63.17,56.71,1.00,vector_based_examples_dict_1,1100,89.98,3.92,5.78
imdb,tvdb,D6,orca2-ft-p2,325.26,59.75,47.88,53.16,1.00,vector_based_examples_dict_1,717,89.98,3.67,5.78
imdb,tvdb,D6,orca2-tf-p2,328.40,47.04,54.02,50.29,1.00,vector_based_examples_dict_1,1029,89.98,3.67,5.78
imdb,tvdb,D6,openhermes-z-p2,319.97,34.58,72.32,46.79,1.00,vector_based_examples_dict_1,1874,62.43,3.66,4.56
imdb,tvdb,D6,openhermes-ft-p2,330.07,54.69,62.50,58.33,1.00,vector_based_examples_dict_1,1024,29.79,3.76,4.56
imdb,tvdb,D6,openhermes-tf-p2,331.80,48.29,72.32,57.91,1.00,vector_based_examples_dict_1,1342,42.85,3.76,4.56
imdb,tvdb,D6,zephyr-z-p2,365.47,49.16,58.48,53.41,0.97,vector_based_examples_dict_1,1038,89.98,3.76,9.10
imdb,tvdb,D6,zephyr-ft-p2,709.48,45.88,17.41,25.24,0.65,vector_based_examples_dict_1,129,89.98,3.96,9.10
imdb,tvdb,D6,zephyr-tf-p2,670.29,50.95,24.00,32.63,0.64,vector_based_examples_dict_1,110,89.98,3.96,9.10
imdb,tvdb,D6,gemma3n-ft-p2,1316.16,51.45,99.33,67.78,1.00,vector_based_examples_dict_2,1730,46.24,3.96,7.43
imdb,tvdb,D6,gemma3n-tf-p2,1312.02,53.99,98.21,69.68,1.00,vector_based_examples_dict_2,1630,41.23,4.26,7.43
imdb,tvdb,D6,qwen2.5-ft-p2,443.69,60.60,82.92,70.03,1.00,vector_based_examples_dict_2,1226,28.47,4.26,4.78
imdb,tvdb,D6,qwen2.5-tf-p2,444.16,58.29,68.30,62.90,1.00,vector_based_examples_dict_2,1050,29.62,3.62,4.78
imdb,tvdb,D6,llama3.1-ft-p2,461.52,33.33,78.35,46.77,1.00,vector_based_examples_dict_2,2106,89.98,3.63,10.01
imdb,tvdb,D6,llama3.1-tf-p2,459.32,34.26,82.37,48.39,1.00,vector_based_examples_dict_2,2153,89.98,4.03,10.01
imdb,tvdb,D6,orca2-ft-p2,350.99,38.30,69.98,49.51,0.99,vector_based_examples_dict_2,1637,89.98,4.05,5.78
imdb,tvdb,D6,orca2-tf-p2,391.89,44.71,54.69,49.20,0.95,vector_based_examples_dict_2,1084,89.98,3.53,5.78
imdb,tvdb,D6,openhermes-ft-p2,343.11,48.77,70.87,57.78,1.00,vector_based_examples_dict_2,1302,40.86,3.53,4.56
imdb,tvdb,D6,openhermes-tf-p2,340.29,52.96,59.82,56.18,1.00,vector_based_examples_dict_2,1012,33.10,3.68,4.56
imdb,tvdb,D6,zephyr-ft-p2,2413.98,36.38,22.21,27.58,0.34,vector_based_examples_dict_2,4,89.98,3.68,9.10
imdb,tvdb,D6,zephyr-tf-p2,781.12,37.93,34.38,36.07,0.55,vector_based_examples_dict_2,142,89.98,3.81,9.10
imdb,tvdb,D6,gemma3n-ft-p2,1112.04,53.14,98.21,68.97,1.00,join_examples_dict_1,1656,44.44,3.82,7.43
imdb,tvdb,D6,gemma3n-tf-p2,1109.17,53.33,99.22,69.37,1.00,join_examples_dict_1,1667,41.87,4.06,7.43
imdb,tvdb,D6,qwen2.5-ft-p2,433.73,60.17,80.58,68.89,1.00,join_examples_dict_1,1200,29.00,4.09,4.78
imdb,tvdb,D6,qwen2.5-tf-p2,433.79,59.73,83.93,69.79,1.00,join_examples_dict_1,1259,30.02,3.58,4.78
imdb,tvdb,D6,llama3.1-ft-p2,456.03,39.23,68.53,49.90,1.00,join_examples_dict_1,1565,89.98,3.58,10.01
imdb,tvdb,D6,llama3.1-tf-p2,454.03,32.25,89.84,47.46,0.99,join_examples_dict_1,2494,89.98,3.70,10.01
