dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
walmart,amazon,D8,gemma3n-z-p2,1132.62,24.73,99.87,39.65,1.00,vector_based_examples_dict_1,3016,81.40
walmart,amazon,D8,gemma3n-ft-p2,1441.50,29.01,99.33,44.90,1.00,vector_based_examples_dict_1,2558,75.57
walmart,amazon,D8,gemma3n-tf-p2,1444.77,33.14,97.59,49.47,1.00,vector_based_examples_dict_1,2200,68.77
walmart,amazon,D8,qwen2.5-z-p2,581.40,46.76,86.88,60.80,1.00,vector_based_examples_dict_1,1388,48.99
walmart,amazon,D8,qwen2.5-ft-p2,596.53,55.90,76.71,64.67,1.00,vector_based_examples_dict_1,1025,36.88
walmart,amazon,D8,qwen2.5-tf-p2,597.60,57.31,79.25,66.52,1.00,vector_based_examples_dict_1,1033,34.46
walmart,amazon,D8,llama3.1-z-p2,599.51,26.91,91.43,41.58,1.00,vector_based_examples_dict_1,2538,73.72
walmart,amazon,D8,llama3.1-ft-p2,608.11,30.36,73.90,43.04,1.00,vector_based_examples_dict_1,1818,61.00
walmart,amazon,D8,llama3.1-tf-p2,608.53,23.32,92.64,37.26,1.00,vector_based_examples_dict_1,2967,78.40
walmart,amazon,D8,orca2-z-p2,439.12,37.14,69.61,48.44,1.00,vector_based_examples_dict_1,1400,56.64
walmart,amazon,D8,orca2-ft-p2,450.43,39.97,37.08,38.47,1.00,vector_based_examples_dict_1,692,98.53
walmart,amazon,D8,orca2-tf-p2,450.07,28.56,56.09,37.85,1.00,vector_based_examples_dict_1,1456,98.53
walmart,amazon,D8,openhermes-z-p2,444.95,36.23,82.06,50.27,1.00,vector_based_examples_dict_1,1692,58.04
walmart,amazon,D8,openhermes-ft-p2,463.17,39.28,63.05,48.41,1.00,vector_based_examples_dict_1,1199,47.79
walmart,amazon,D8,openhermes-tf-p2,459.15,36.09,66.00,46.66,1.00,vector_based_examples_dict_1,1366,54.03
walmart,amazon,D8,zephyr-z-p2,501.24,44.95,83.40,58.42,0.99,vector_based_examples_dict_1,1370,98.53
walmart,amazon,D8,zephyr-ft-p2,620.38,54.38,36.55,43.71,0.77,vector_based_examples_dict_1,68,98.53
walmart,amazon,D8,zephyr-tf-p2,567.50,48.71,42.97,45.66,0.83,vector_based_examples_dict_1,230,98.53
walmart,amazon,D8,gemma3n-ft-p2,1455.72,27.82,99.46,43.48,1.00,vector_based_examples_dict_2,2671,77.61
walmart,amazon,D8,gemma3n-tf-p2,1451.78,26.66,99.73,42.08,1.00,vector_based_examples_dict_2,2794,79.17
walmart,amazon,D8,qwen2.5-ft-p2,598.18,55.85,83.13,66.81,1.00,vector_based_examples_dict_2,1112,37.41
walmart,amazon,D8,qwen2.5-tf-p2,598.38,53.26,85.41,65.60,1.00,vector_based_examples_dict_2,1198,41.74
walmart,amazon,D8,llama3.1-ft-p2,611.11,24.73,91.57,38.94,1.00,vector_based_examples_dict_2,2766,77.15
walmart,amazon,D8,llama3.1-tf-p2,608.38,21.95,99.06,35.94,1.00,vector_based_examples_dict_2,3371,81.87
